Acanthophis antarcticus	Common death adder	SHAW	1802	Yes	No
Acanthophis hawkei		WELLS & WELLINGTON	1985	Yes	No
Acanthophis laevis		MACLEAY	1878	Yes	No
Acanthophis praelongus	Northern death adder	RAMSAY	1877	Yes	No
Acanthophis pyrrhus	Desert Death Adder	BOULENGER	1898	Yes	No
Acanthophis rugosus	Rauhnackige Todesotter	LOVERIDGE	1948	Yes	No
Acanthophis wellsi		HOSER	1998	Yes	No
Achalinus ater	Bourret's Odd-scaled Snake	BOURRET	1937	No	No
Achalinus formosanus	Formosa Odd-scaled Snake	BOULENGER	1908	No	No
Achalinus hainanus	Hainan Odd-scaled Snake	HUANG	1975	No	No
Achalinus jinggangensis	Zong's Odd-scaled Snake	ZONG & MA	1983	No	No
Achalinus meiguensis	Szechwan Odd-scaled Snake	HU & ZHAO	1966	No	No
Achalinus niger	Black Odd-scaled Snake	MAKI	1931	No	No
Achalinus rufescens	Boulenger's Odd-scaled Snake	BOULENGER	1888	No	No
Achalinus spinalis	Peters' Odd-scaled Snake	PETERS	1869	No	No
Achalinus werneri	Amami odd-scaled snake	VAN DENBURGH	1912	No	No
Acrantophis dumerili	Dumeril's boa	JAN	1860	No	Yes
Acrantophis madagascariensis	Madagascar ground boa	DUMRIL & BIBRON	1844	No	Yes
Acrochordus arafurae	Arafura filesnake	MCDOWELL	1979	No	No
Acrochordus granulatus	Little filesnake, Marine File Snake, Wart Snake	SCHNEIDER	1799	No	No
Acrochordus javanicus	Javan File Snake, Elephant Trunk Snake	HORNSTEDT	1787	No	No
Acutotyphlops banaorum		WALLACH, BROWN, DIESMOS & GEE	2007	No	No
Acutotyphlops infralabialis	Red Blind Snake	WAITE	1918	No	No
Acutotyphlops kunuaensis	Kunua Blind Snake	WALLACH	1995	No	No
Acutotyphlops solomonis		PARKER	1939	No	No
Acutotyphlops subocularis	Bismarck sharp-nosed blindsnake	WAITE	1897	No	No
Adelophis copei	Cope's Mountain Meadow Snake	DUGS	1879	No	No
Adelophis foxi	Fox's Mountain Meadow Snake	ROSSMAN & BLANEY	1968	No	No
Adelphicos daryi	Dary's Burrowing Snake	CAMPBELL & FORD	1982	No	No
Adelphicos ibarrorum		CAMPBELL & BRODIE	1988	No	No
Adelphicos latifasciatum	Oaxacan Burrowing Snake	LYNCH & SMITH	1966	No	No
Adelphicos nigrilatum	Burrowing Snake	SMITH	1942	No	No
Adelphicos quadrivirgatum	Middle American Burrowing Snake	JAN	1862	No	No
Adelphicos veraepacis	Stuart's Burrowing Snake	STUART	1941	No	No
Aeluroglena cucullata	Somali Snake	BOULENGER	1898	No	No
Afronatrix anoscopus	African Brown Water Snake	COPE	1861	No	No
Afrotyphlops angeli	Mann's Worm Snake	GUIB	1952	No	No
Afrotyphlops angolensis	Angola blind snake	BOCAGE	1866	No	No
Afrotyphlops anomalus	Angolan giant blind-snake, Anomalous Beaked Snake	BOCAGE	1873	No	No
Afrotyphlops bibronii	Bibron's Blind Snake	SMITH	1846	No	No
Afrotyphlops blanfordii	Blanfords blind-snake	BOULENGER	1889	No	No
Afrotyphlops brevis	Somali giant blind-snake	SCORTECCI	1929	No	No
Afrotyphlops congestus	Blotched blind snake	DUMRIL & BIBRON	1844	No	No
Afrotyphlops decorosus	Cameroon gracile blind-snake, Cameroon Worm Snake	BUCHHOLZ & PETERS	1875	No	No
Afrotyphlops elegans	Elegant Worm Snake	PETERS	1868	No	No
Afrotyphlops fornasinii	Fornasini's Blind Snake	BIANCONI	1847	No	No
Afrotyphlops gierrai	Usambara Spotted Worm Snake	MOCQUARD	1897	No	No
Afrotyphlops kaimosae	Kakamega blind-snake	LOVERIDGE	1935	No	No
Afrotyphlops liberiensis	Guinea Blind Snake	HALLOWELL	1848	No	No
Afrotyphlops lineolatus	Common Lined Worm Snake, Lineolate Blind Snake	JAN	1864	No	No
Afrotyphlops manni	Mann's Worm Snake	LOVERIDGE	1941	No	No
Afrotyphlops mucruso	Zambezi Blind Snake	PETERS	1854	No	No
Afrotyphlops nanus	Kenyan dwarf blind-snake	BROADLEY & WALLACH	2009	No	No
Afrotyphlops nigrocandidus		BROADLEY & WALLACH	2000	No	No
Afrotyphlops obtusus	Southern gracile blind-snake, Slender Blind Snake	PETERS	1865	No	No
Afrotyphlops punctatus	Spotted Blind Snake	LEACH	1819	No	No
Afrotyphlops rondoensis	Rondo Worm Snake	LOVERIDGE	1942	No	No
Afrotyphlops schlegelii	Schlegel's Giant Blind Snake, Peter's Giant Blind Snake	BIANCONI	1847	No	No
Afrotyphlops schmidti	Schmidts blind-snake	LAURENT	1956	No	No
Afrotyphlops steinhausi	Steinhaus' Worm Snake	WERNER	1909	No	No
Afrotyphlops tanganicanus	Liwale blind-snake	LAURENT	1964	No	No
Afrotyphlops usambaricus	Usambara blind-snake	LAURENT	1964	No	No
Agkistrodon bilineatus	Cantil, Mexican Moccasin	GNTHER	1863	Yes	Yes
Agkistrodon contortrix	Southern Copperhead	LINNAEUS	1766	Yes	Yes
Agkistrodon howardgloydi	Gloyds Moccasin	CONANT	1984	Yes	Yes
Agkistrodon piscivorus	conan	LACPDE	1789	Yes	Yes
Agkistrodon russeolus	Cantil, Mexican Moccasin	GLOYD	1972	Yes	Yes
Agkistrodon taylori	Mexican Moccasin	BURGER & ROBERTSON	1951	Yes	Yes
Ahaetulla dispar	Indian Bronzeback, Gnther's Vine Snake	GNTHER	1864	Yes	No
Ahaetulla fasciolata	Speckle-headed Whipsnake, Spotted Whipsnake	FISCHER	1885	Yes	No
Ahaetulla fronticincta	Gnther's Whipsnake, Burmese Vine Snake	GNTHER	1858	Yes	No
Ahaetulla mycterizans	Malayan (Green) Whipsnake	LINNAEUS	1758	Yes	No
Ahaetulla nasuta	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	BONNATERRE	1790	Yes	No
Ahaetulla perroteti	Western Ghats Bronzeback	DUMRIL & BIBRON	1854	Yes	No
Ahaetulla prasina	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	BOIE	1827	Yes	No
Ahaetulla pulverulenta	Brown-speckled Whipsnake	DUMRIL & BIBRON	1854	Yes	No
Aipysurus apraefrontalis	Short-nosed Seasnake, Sahul Reef Snake	SMITH	1926	Yes	Yes
Aipysurus duboisii	Reef shallows seasnake	BAVAY	1869	Yes	Yes
Aipysurus eydouxii	Spine-tailed seasnake	GRAY	1849	Yes	Yes
Aipysurus foliosquama	Leaf-scaled Seasnake	SMITH	1926	Yes	Yes
Aipysurus fuscus	Dusky Seasnake, Timor Reef Snake	TSCHUDI	1837	Yes	Yes
Aipysurus laevis	Olive-brown seasnake, Shark Bay Seasnake	LACPDE	1804	Yes	Yes
Aipysurus mosaicus		SANDERS, RASMUSSEN, ELMBERG, MUMPUNI, GUINEA, BLIAS, LEE & FRY	2012	Yes	Yes
Aipysurus tenuis	Arafura Sea Snake	LNNBERG & ANDERSSON	1913	Yes	Yes
Alluaudina bellyi		MOCQUARD	1894	No	No
Alluaudina mocquardi		ANGEL	1939	No	No
Alsophis antiguae	Antiguan racer	PARKER	1933	No	No
Alsophis antillensis	Antilles Racer, Leeward Racer	SCHLEGEL	1837	No	No
Alsophis danforthi		COCHRAN	1938	No	No
Alsophis manselli	Montserrat Racer	PARKER	1933	No	No
Alsophis rijgersmaei	Anguilla Racer, Leeward Islands Racer	COPE	1869	No	No
Alsophis rufiventris	Saba Racer, Orange-bellied racer	DUMRIL, BIBRON & DUMRIL	1854	No	No
Alsophis sajdaki		HENDERSON	1990	No	No
Alsophis sanctonum		BARBOUR	1915	No	No
Alsophis sibonius	Dominican Racer	COPE	1879	No	No
Amastridium sapperi		WERNER	1903	No	No
Amastridium veliferum	Rustyhead Snake	COPE	1860	No	No
Amblyodipsas concolor	Natal Purple-glossed Snake	SMITH	1849	No	No
Amblyodipsas dimidiata	Mpwapwa Purple-glossed Snake	GNTHER	1888	No	No
Amblyodipsas katangensis	Katanga Purple-glossed Snake	DE WITTE & LAURENT	1942	No	No
Amblyodipsas microphthalma	Eastern Purple-glossed Snake	BIANCONI	1852	No	No
Amblyodipsas polylepis	Common Purple-glossed Snake, Common Purple-glossed Snake	BOCAGE	1873	No	No
Amblyodipsas rodhaini	Rodhain's Purple-glossed Snake	DE WITTE	1930	No	No
Amblyodipsas teitana	Teitana Purple-glossed Snake	LOVERIDGE	1936	No	No
Amblyodipsas unicolor	Dull Purple-glossed Snake, Western Purple-glossed Snake	REINHARDT	1843	No	No
Amblyodipsas ventrimaculata	Kalahari Purple-glossed Snake	ROUX	1907	No	No
Amerotyphlops amoipira		RODRIGUES & JUNC	2002	No	No
Amerotyphlops brongersmianus	Brongersma's Worm Snake	VANZOLINI	1976	No	No
Amerotyphlops costaricensis	Costa Rica Worm Snake	JIMENEZ & SAVAGE	1963	No	No
Amerotyphlops lehneri	Estado Falcn Worm Snake	ROUX	1926	No	No
Amerotyphlops microstomus	Yucatecan Worm Snake	COPE	1866	No	No
Amerotyphlops minuisquamus	Basin Worm Snake	DIXON	1979	No	No
Amerotyphlops paucisquamus	Pernambuco Worm Snake	DIXON	1979	No	No
Amerotyphlops reticulatus	Reticulate Worm Snake	LINNAEUS	1758	No	No
