Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Indonesia	1	1
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Philippines	1	1
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Vietnam	1	1
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Thailand	1	1
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Australia	1	1
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Taiwan	1	1
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Guinea	1	1
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	New Caledonia	1	1
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	E: Common death adderG: Todesotter	Australia	1	0
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	E: Common death adderG: Todesotter	Guinea	1	0
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	E: Common death adderG: Todesotter	Papua New Guinea	1	0
Acanthophis hawkei	Elapidae, Serpentes (snakes)	Acanthophis	hawkei	WELLS & WELLINGTON	1985		Australia	1	0
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Indonesia	1	0
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Australia	1	0
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Guinea	1	0
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Papua New Guinea	1	0
Acanthophis pyrrhus	Elapidae, Serpentes (snakes)	Acanthophis	pyrrhus	BOULENGER	1898	Desert Death Adder	Australia	1	0
Acanthophis wellsi	Elapidae, Serpentes (snakes)	Acanthophis	wellsi	HOSER	1998		Australia	1	0
Achalinus ater	Xenodermatidae, Serpentes (snakes)	Achalinus	ater	BOURRET	1937	Bourret's Odd-scaled Snake	China	0	0
Achalinus ater	Xenodermatidae, Serpentes (snakes)	Achalinus	ater	BOURRET	1937	Bourret's Odd-scaled Snake	Vietnam	0	0
Achalinus formosanus	Xenodermatidae, Serpentes (snakes)	Achalinus	formosanus	BOULENGER	1908	Formosa Odd-scaled Snake	Japan	0	0
Achalinus formosanus	Xenodermatidae, Serpentes (snakes)	Achalinus	formosanus	BOULENGER	1908	Formosa Odd-scaled Snake	Taiwan	0	0
Achalinus hainanus	Xenodermatidae, Serpentes (snakes)	Achalinus	hainanus	HUANG	1975	Hainan Odd-scaled Snake	China	0	0
Achalinus jinggangensis	Xenodermatidae, Serpentes (snakes)	Achalinus	jinggangensis	ZONG & MA	1983	Zong's Odd-scaled Snake	China	0	0
Achalinus meiguensis	Xenodermatidae, Serpentes (snakes)	Achalinus	meiguensis	HU & ZHAO	1966	Szechwan Odd-scaled Snake	China	0	0
Achalinus niger	Xenodermatidae, Serpentes (snakes)	Achalinus	niger	MAKI	1931	Black Odd-scaled Snake	Taiwan	0	0
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	China	0	0
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	Vietnam	0	0
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	Hong Kong	0	0
Achalinus spinalis	Xenodermatidae, Serpentes (snakes)	Achalinus	spinalis	PETERS	1869	Peters' Odd-scaled Snake	China	0	0
Achalinus spinalis	Xenodermatidae, Serpentes (snakes)	Achalinus	spinalis	PETERS	1869	Peters' Odd-scaled Snake	Japan	0	0
Achalinus spinalis	Xenodermatidae, Serpentes (snakes)	Achalinus	spinalis	PETERS	1869	Peters' Odd-scaled Snake	Vietnam	0	0
Achalinus werneri	Xenodermatidae, Serpentes (snakes)	Achalinus	werneri	VAN DENBURGH	1912	Amami odd-scaled snake	Japan	0	0
Acrochordus arafurae	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	arafurae	MCDOWELL	1979	Arafura filesnake	Indonesia	0	0
Acrochordus arafurae	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	arafurae	MCDOWELL	1979	Arafura filesnake	Australia	0	0
Acrochordus arafurae	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	arafurae	MCDOWELL	1979	Arafura filesnake	Guinea	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	China	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	India	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Indonesia	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Bangladesh	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Vietnam	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Thailand	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Myanmar	0	0
