Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Indonesia	Yes	Yes
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Philippines	Yes	Yes
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Vietnam	Yes	Yes
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Thailand	Yes	Yes
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Australia	Yes	Yes
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Taiwan	Yes	Yes
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Guinea	Yes	Yes
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	New Caledonia	Yes	Yes
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	Common death adder	Australia	Yes	No
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	Common death adder	Guinea	Yes	No
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	Common death adder	Papua New Guinea	Yes	No
Acanthophis hawkei	Elapidae, Serpentes (snakes)	Acanthophis	hawkei	WELLS & WELLINGTON	1985		Australia	Yes	No
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Indonesia	Yes	No
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Australia	Yes	No
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Guinea	Yes	No
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Papua New Guinea	Yes	No
Acanthophis pyrrhus	Elapidae, Serpentes (snakes)	Acanthophis	pyrrhus	BOULENGER	1898	Desert Death Adder	Australia	Yes	No
Acanthophis wellsi	Elapidae, Serpentes (snakes)	Acanthophis	wellsi	HOSER	1998		Australia	Yes	No
Achalinus ater	Xenodermatidae, Serpentes (snakes)	Achalinus	ater	BOURRET	1937	Bourret's Odd-scaled Snake	China	No	No
Achalinus ater	Xenodermatidae, Serpentes (snakes)	Achalinus	ater	BOURRET	1937	Bourret's Odd-scaled Snake	Vietnam	No	No
Achalinus formosanus	Xenodermatidae, Serpentes (snakes)	Achalinus	formosanus	BOULENGER	1908	Formosa Odd-scaled Snake	Japan	No	No
Achalinus formosanus	Xenodermatidae, Serpentes (snakes)	Achalinus	formosanus	BOULENGER	1908	Formosa Odd-scaled Snake	Taiwan	No	No
Achalinus hainanus	Xenodermatidae, Serpentes (snakes)	Achalinus	hainanus	HUANG	1975	Hainan Odd-scaled Snake	China	No	No
Achalinus jinggangensis	Xenodermatidae, Serpentes (snakes)	Achalinus	jinggangensis	ZONG & MA	1983	Zong's Odd-scaled Snake	China	No	No
Achalinus meiguensis	Xenodermatidae, Serpentes (snakes)	Achalinus	meiguensis	HU & ZHAO	1966	Szechwan Odd-scaled Snake	China	No	No
Achalinus niger	Xenodermatidae, Serpentes (snakes)	Achalinus	niger	MAKI	1931	Black Odd-scaled Snake	Taiwan	No	No
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	China	No	No
